"VOLE_ID","TRT","SEX","AVP_ANTERIOR_PVN","AVP_MEDIAL_PVN","AVP_POSTERIOR_PVN","AVP_SON","OT_ANTERIOR_PVN","OT_MEDIAL_PVN","OT_POSTERIOR_PVN","OT_SON","TH_BNST","TH_PVN","DATA_CHECK"
"139","HIGH","M","5.0000","","","42.5000","63.0000","","","21.0000","41.0000","44.0000","Incomplete Data"
"196","HIGH","M","16.5000","","14.0000","50.0000","92.0000","","58.0000","12.0000","24.0000","91.0000","Incomplete Data"
"221","HIGH","M","37.5000","73.0000","26.0000","46.0000","92.0000","78.3000","59.0000","29.5000","38.0000","51.0000","Complete Data"
"223","HIGH","M","23.0000","55.0000","","42.5000","38.0000","59.3000","","27.0000","10.0000","85.0000","Semi-Complete"
"226","HIGH","M","","","","43.0000","48.5000","62.0000","","20.5000","","","Incomplete Data"
"148","5MT","M","24.0000","76.0000","","70.5000","40.5000","36.3000","","27.0000","59.0000","88.0000","Semi-Complete"
"153","5MT","M","11.0000","61.0000","","43.5000","51.0000","61.0000","","19.5000","39.0000","64.0000","Semi-Complete"
"154","5MT","M","10.0000","41.0000","","35.5000","52.0000","45.3000","","23.0000","4.0000","39.0000","Semi-Complete"
"160","5MT","M","6.0000","47.3000","","45.5000","44.0000","82.3000","","28.0000","43.0000","58.0000","Semi-Complete"
"166","5MT","M","","","22.0000","44.0000","","","71.0000","23.5000","15.0000","107.0000","Incomplete Data"
"174","5MT","M","","","","68.0000","","","","18.0000","17.0000","80.0000","Incomplete Data"
"175","5MT","M","21.0000","","2.0000","35.0000","46.5000","","41.0000","20.0000","11.0000","106.0000","Incomplete Data"
"178","5MT","M","7.5000","","24.0000","48.5000","19.5000","","15.0000","30.5000","10.0000","23.0000","Incomplete Data"
"180","5MT","M","1.5000","","6.0000","27.5000","14.5000","","30.0000","17.0000","20.0000","79.0000","Incomplete Data"
"189","5MT","M","16.5000","44.0000","","52.0000","26.5000","42.3000","","26.0000","2.0000","38.0000","Semi-Complete"
"190","5MT","M","1.5000","54.3000","","24.5000","35.5000","50.7000","","14.0000","45.0000","109.0000","Semi-Complete"
"194","5MT","M","21.0000","63.7000","","27.0000","99.5000","70.3000","","24.0000","32.0000","106.0000","Semi-Complete"
